codigo_pdv;nome_pdv;razao_social;endereco;bairro;cidade;uf;cep;latitude;longitude;created_at;bandeira
7509;S07509 - FUJIOKA - TRINDADE/GO;;Avenida Manoel Monteiro, 640 Qd19 Lt01;VILA MARIA;TRINDADE;GO;75392652;-1.665.506;-4.948.682;2026-02-09 21:05:02.384876+00;FUJIOKA
78281;S78281 - COLOMBO - AVENIDA NARCISO SILVA - 1751 - CAPAO DO LEAO - RS;;AVENIDA NARCISO SILVA, 1751;;CAPAO DO LEAO;RS;96160000;-3.176.492;-5.250.029;2026-02-09 21:05:01.741346+00;COLOMBO
12183;S12183 - COLOMBO - AVENIDA GENERAL OSORIO - 440 - CRUZ ALTA - RS;;AVENIDA GENERAL OSORIO, 440;CENTRO;CRUZ ALTA;RS;98005150;-2.864.515;-5.360.457;2026-02-09 21:05:02.239959+00;COLOMBO
14214;S14214 - REGIONAL SUL - HAVAN - RIO GRANDE - VILA MARIA - RS;;AVENIDA ITALIA, 1573;VILA MARIA;RIO GRANDE;RS;96203295;-3.207.649;-5.215.257;2026-02-09 21:05:01.741346+00;HAVAN
40470;S40470 - COLOMBO - RUA DOUTOR JORGE XAVIER DA SILVA - 179 - CASTRO - PR;;RUA DOUTOR JORGE XAVIER DA SILVA, 179;CENTRO;CASTRO;PR;84165000;-2.478.707;-5.000.751;2026-02-09 21:05:02.576155+00;COLOMBO
75932;S75932 - COLOMBO - RUA FRANCISCO VAHLDIECK - 686 - BLUMENAU - SC;;RUA FRANCISCO VAHLDIECK, 686;FORTALEZA;BLUMENAU;SC;89056000;-26.881;-4.906.846;2026-02-09 21:05:01.741346+00;COLOMBO
3640;S03640 - DUFRIO - PRACA JACOMO ZANELA - 187 - SAO PAULO - SP;;Praça Jacomo Zanela, 187;AGUA BRANCA;SAO PAULO;SP;5038010;-2.351.602;-466.987;2026-02-09 21:05:02.239959+00;DUFRIO
1689;S01689 - RAMSONS - RUA GUILHERME MOREIRA - 216 - MANAUS - AM;;RUA GUILHERME MOREIRA, 216;CENTRO;MANAUS;AM;69005300;-31.361.267;-6.002.353.019.999.990;2026-02-09 21:05:02.384876+00;RAMSONS
164;S00164 - CLIMA RIO - RUA MANOEL JOAO GONCALVES - 84 - SAO GONCALO - RJ;;Rua Manoel Joao Goncalves, 84, Loja 2;ALCANTARA;SAO GONCALO;RJ;24711080;-2.282.369;-4.300.045;2026-02-09 21:05:01.598207+00;CLIMA RIO
3162;S03162 - CLIMA RIO - AVENIDA DOUTOR FRANCISCO JUNQUEIRA - 851 - RIBEIRAO PRETO - SP;;Avenida Doutor Francisco Junqueira, 851;JARDIM MOSTEIRO;RIBEIRAO PRETO;SP;14085310;-2.117.389;-4.780.471;2026-02-09 21:05:01.598207+00;CLIMA RIO
88597;S88597 - COLOMBO - AVENIDA ANHANGUERA - S/N - PEIXOTO DE AZEVEDO - MT;;AVENIDA ANHANGUERA, S/N;UNIAO DO NORTE;PEIXOTO DE AZEVEDO;MT;78533000;-1.025.756;-5.499.941;2026-02-09 21:05:02.384876+00;COLOMBO
3053;S03053 - FRIGELAR - AVENIDA PARA - 1269 - PORTO ALEGRE - RS;;Avenida Para, 1269;NAVEGANTES;PORTO ALEGRE;RS;90240591;-3.001.343;-5.119.994;2026-02-09 21:05:02.063994+00;FRIGELAR
