codigo_pdv;nome_pdv;razao_social;endereco;bairro;cidade;uf;cep;latitude;longitude;created_at;bandeira
7781;S07781 - HAVAN - ALAMEDA SANTA MARIA BR 040 - SN - VALPARAISO DE GOIAS - GO;;ALAMEDA SANTA MARIA BR 040, SN;PARQUE ESPLANADA V;VALPARAISO DE GOIAS;GO;72874101;-1.609.604;-4.798.104;2026-02-09 21:05:02.384876+00;HAVAN
33695;S33695 - COLOMBO - RUA DOUTOR FLORES - 119 - PORTO ALEGRE - RS;;RUA DOUTOR FLORES, 119;CENTRO HISTORICO;PORTO ALEGRE;RS;90020122;-3.002.826;-5.122.458;2026-02-09 21:05:01.947218+00;COLOMBO
73301;S73301 - COLOMBO - AVENIDA ANICETO ZACCHI - 983 - PALHOCA - SC;;AVENIDA ANICETO ZACCHI, 983;PONTE DO IMARUIM;PALHOCA;SC;88130301;-2.763.845;-4.865.167;2026-02-09 21:05:01.741346+00;COLOMBO
2570;S02570 - RAMSONS - AVENIDA NOEL NUTELS - 1762 - MANAUS - AM;;AVENIDA NOEL NUTELS, 1762;CIDADE NOVA;MANAUS;AM;69095000;-30.313.987;-5.997.618.180.000.000;2026-02-09 21:05:02.384876+00;RAMSONS
1149;S01149 - COLOMBO - RUA JACOB ELY - 200 - GARIBALDI - RS;;RUA JACOB ELY, 200;;GARIBALDI;RS;95720000;-2.925.644;-5.152.788;2026-02-09 21:05:02.063994+00;COLOMBO
46169;S46169 - COLOMBO - AVENIDA GETULIO VARGAS - 500 - TIMBO - SC;;AVENIDA GETULIO VARGAS, 500;;TIMBO;SC;89120000;-2.682.364;-4.927.693;2026-02-09 21:05:01.947218+00;COLOMBO
16847;S16847 - COLOMBO - RUA INDEPENDENCIA - 843 - ITAQUI - RS;;RUA INDEPENDENCIA, 843;;ITAQUI;RS;97650000;-2.912.627;-5.655.631;2026-02-09 21:05:01.741346+00;COLOMBO
3694;;;0;BRASILIA;BRASILIA;DF;;0;0;2026-02-09 21:05:02.384876+00;FUJIOKA
825;S00825 - LIDER - CASTANHEIRA SHOPPING - BELEM - PA;;Rodovia Br 316, S/N;CASTANHEIRA;BELEM;PA;66630505;-14.040.094.823.602.700;-4.843.054.089.386.840;2026-02-09 21:05:02.384876+00;LIDER
2910;S02910 - FRIGELAR - RUA ROCKFELLER - 826 - CURITIBA - PR;;Rua Rockfeller, 826;REBOUCAS;CURITIBA;PR;80230130;-2.544.523;-4.926.222;2026-02-09 21:05:02.694969+00;FRIGELAR
85490;S85490 - COLOMBO - RUA PADRE JONAS VAZ SANTOS - 469 - SERTANOPOLIS - PR;;RUA PADRE JONAS VAZ SANTOS, 469;;SERTANOPOLIS;PR;86170000;-2.306.006;-5.103.792;2026-02-09 21:05:02.694969+00;COLOMBO
71430;S71430 - COLOMBO - AVENIDA BARRIGA VERDE - 640 - BALNEARIO ARROIO DO SILVA - SC;;AVENIDA BARRIGA VERDE, 640;;BALNEARIO ARROIO DO SILVA;SC;88914000;-2.898.492;-494.178;2026-02-09 21:05:01.947218+00;COLOMBO
1461;S01461 - CLIMA RIO - AVENIDA LEITAO DA SILVA - 1187 - VITORIA - ES;;Avenida Leitao Da Silva, 1187;GURIGICA;VITORIA;ES;29046010;-2.030.609;-4.030.314;2026-02-09 21:05:02.576155+00;CLIMA RIO
12264;S12264 - COLOMBO - RUA ANDRADE NEVES - 1979 - PELOTAS - RS;;RUA ANDRADE NEVES, 1979;CENTRO;PELOTAS;RS;96020080;-3.176.614;-5.234.148;2026-02-09 21:05:02.239959+00;COLOMBO
84176;S84176 - COLOMBO - RUA SAO PAULO - 444 - ANDIRA - PR;;RUA SAO PAULO, 444,;;ANDIRA;PR;86380000;-2.305.009;-5.022.786;2026-02-09 21:05:02.694969+00;COLOMBO
8780;S08780 - ANGELONI - AVENIDA GETULIO VARGAS - 1259 - ARARANGUA - SC;;AVENIDA GETULIO VARGAS, 1259;URUSSANGUINHA;ARARANGUA;SC;88905482;-289.409;-4.947.626;2026-02-09 21:05:01.947218+00;ANGELONI
73212;S73212 - COLOMBO - AVENIDA LUIZ DE CAMOES - 439 - LAGES - SC;;AVENIDA LUIZ DE CAMOES, 439;CORAL;LAGES;SC;88523000;-278.067;-5.030.461;2026-02-09 21:05:01.741346+00;COLOMBO
30599;S30599 - COLOMBO - RUA DOMINGOS FARIAS - 32 - RIO BRANCO DO SUL - PR;;RUA DOMINGOS FARIAS, 32;;RIO BRANCO DO SUL;PR;83540000;-2.518.829;-4.931.358;2026-02-09 21:05:02.576155+00;COLOMBO
1589;S01589 - HAVAN - JARAGUA DO SUL PARK SHOPPING - JARAGUA DO SUL - SC;;AVENIDA GETULIO VARGAS, 268;CENTRO;JARAGUA DO SUL;SC;89251970;-2.648.006;-4.908.519;2026-02-09 21:05:02.063994+00;HAVAN
141;S00141 - UNIAR - RUA MARIZ E BARROS - 521 - NITEROI - RJ;;Rua Mariz E Barros, 521;NITEROI;NITEROI;RJ;24220121;-2.290.196;-4.310.005;2026-02-09 21:05:01.598207+00;POLOAR
316;S00316 - UNIAR - RUA FRANCISCO DO PILAR - 1 - SAO PAULO - SP;;Rua Francisco Do Pilar, 1;JARDIM SANTO ELIAS;SAO PAULO;SP;5136070;-2.350.585;-4.674.994;2026-02-09 21:05:01.598207+00;POLOAR
390;S02324 - FRIGELAR - ALAMEDA GLETE - 908 - SAO PAULO - SP;;Alameda Glete, 908;CAMPOS ELISEOS;SAO PAULO;SP;1215001;-2.353.646;-4.664.954;2026-02-09 21:05:01.598207+00;FRIOPECAS
3192;S03192 - COLOMBO - RUA JOSE MARIA DA LUZ - 2925 - PALHOCA - SC;;RUA JOSE MARIA DA LUZ, 2925;CENTRO;PALHOCA;SC;88131000;-2.764.769;-4.866.708;2026-02-09 21:05:02.063994+00;COLOMBO
290;S00290 - ANGELONI - RUA FELIPE SCHMIDT - 26 - CRICIUMA - SC;;RUA FELIPE SCHMIDT, 26;CENTRO;CRICIUMA;SC;88801240;-2.867.553;-4.936.548;2026-02-09 21:05:02.239959+00;ANGELONI
8149;;;0;CAPUAVA;GOIANIA;GO;;0;0;2026-02-09 21:05:02.384876+00;FUJIOKA
69533;S69533 - COLOMBO - AVENIDA FEITORIA - 4825 - SAO LEOPOLDO - RS;;AVENIDA FEITORIA, 4825;FEITORIA;SAO LEOPOLDO;RS;93054265;-297.529;-5.109.363;2026-02-09 21:05:01.947218+00;COLOMBO
15296;S15296 - HAVAN - ESTRADA ANTONIO SARTI - 137 - SERTAOZINHO - SP;;ESTRADA ANTONIO SARTI, 137;SETOR INDUSTRIAL;SERTAOZINHO;SP;14176855;-211.445.933;-480.085.381;2026-02-09 21:05:02.780508+00;HAVAN
88244;S88244 - COLOMBO - RUA SALDANHA MARINHO - 1489 - GUARAPUAVA - PR;;RUA SALDANHA MARINHO, 1489;CENTRO;GUARAPUAVA;PR;85010290;-2.539.522;-514.692;2026-02-09 21:05:02.694969+00;COLOMBO
8220;S08220 - FUJIOKA - AVENIDA PARANOA - SN - BRASILIA - DF;;AVENIDA PARANOA, SN;PARANOA;BRASILIA;DF;71571710;-1.577.305;-4.777.971;2026-02-09 21:05:02.384876+00;FUJIOKA
15794;S15794 - COLOMBO - RUA VISCONDE DO RIO BRANCO - 1507 - SAO SEPE - RS;;RUA VISCONDE DO RIO BRANCO, 1507;;SAO SEPE;RS;97340000;-3.016.803;-5.356.921;2026-02-09 21:05:01.741346+00;COLOMBO
68138;S68138 - COLOMBO - RUA JOSE ACHILES COLOMBO - 50 - FARROUPILHA - RS;;RUA JOSE ACHILES COLOMBO, 50;SAO ROQUE;FARROUPILHA;RS;95176030;-2.922.092;-5.133.936;2026-02-09 21:05:01.947218+00;COLOMBO
82203;S82203 - COLOMBO - RUA DR. JOAO CARLOS MACHADO - 856 - ARROIO DO MEIO - RS;;RUA DR. JOAO CARLOS MACHADO, 856, CONJ COMERCIAL 102;;ARROIO DO MEIO;RS;95940000;-2.940.001;-5.194.613;2026-02-09 21:05:02.063994+00;COLOMBO
39626;S39626 - COLOMBO - RUA INDUSTRIAL JOSE BEDUSCHI - 208 - GASPAR - SC;;RUA INDUSTRIAL JOSE BEDUSCHI, 208;CENTRO;GASPAR;SC;89110001;-2.692.887;-4.895.065;2026-02-09 21:05:01.947218+00;COLOMBO
633;S00633 - FRIOPECAS - RUA TEIXEIRA RIBEIRO - 275 - RIO DE JANEIRO - RJ;;Rua Teixeira Ribeiro, 275;;RIO DE JANEIRO;RJ;21040450;-2.285.643;-4.324.962;2026-02-09 21:05:01.598207+00;FRIOPECAS
700;S00700 - BHP - AV. SENADOR PINHEIRO MACHADO - 22 - SANTOS - SP;;Av. Senador Pinheiro Machado, 22;SANTOS;SANTOS;SP;11075000;-23.943.376.476.311.300;-46.330.821.905.871.700;2026-02-09 21:05:01.598207+00;BHP
19011;S19011 - HAVAN - RODOVIA MT-208 - 3160 - ALTA FLORESTA - MT;;RODOVIA MT-208, 3160;;ALTA FLORESTA;MT;78580000;-990.189;-5.608.305;2026-02-09 21:05:02.384876+00;HAVAN
82637;S82637 - COLOMBO - RUA CORIFEU AZEVEDO MARQUES - 221 - SAO JOAO DO IVAI - PR;;RUA CORIFEU AZEVEDO MARQUES, 221,;CENTRO;SAO JOAO DO IVAI;PR;86930970;-2.399.469;-5.181.967;2026-02-09 21:05:02.694969+00;COLOMBO
16413;S16413 - COLOMBO - AVENIDA ANGELO MACALOS - 504 - ESPUMOSO - RS;;AVENIDA ANGELO MACALOS, 504;;ESPUMOSO;RS;99400000;-2.872.631;-5.284.714;2026-02-09 21:05:01.741346+00;COLOMBO
10725;S10725 - COLOMBO - AVENIDA JULIO BORELLA - 1065 - MARAU - RS;;AVENIDA JULIO BORELLA, 1065;;MARAU;RS;99150000;-2.844.398;-5.219.966;2026-02-09 21:05:02.239959+00;COLOMBO
5476;S05476 - FUJIOKA - AVENIDA 24 DE OUTUBRO - 1487 - GOIANIA - GO;;AVENIDA 24 DE OUTUBRO, 1487;SETOR CAMPINAS;GOIANIA;GO;74505010;-1.666.878;-4.929.176;2026-02-09 21:05:02.384876+00;FUJIOKA
147;S00147 - UNIAR - RUA SANTA CRUZ - 186 - PINDORAMA - SP;;Rua Santa Cruz, 186;CENTRO;PINDORAMA;SP;15830019;-2.118.567;-4.890.733;2026-02-09 21:05:01.598207+00;POLOAR
69452;S69452 - COLOMBO - AV NEREU RAMOS - 85 - BALNEARIO DE PICARRAS - SC;;AVENIDA NEREU RAMOS, 85;;BALNEARIO DE PICARRAS;SC;88380000;-2.677.311;-486.644;2026-02-09 21:05:01.947218+00;COLOMBO
10399;S10399 - FUJIOKA - SENADOR CANEDO/GO;;Avenida Dom Emanuel, 1362 Qd01G Lt25;RODOVIARIO;SENADOR CANEDO;GO;74430180;-166.777.314;-493.121.901;2026-02-09 21:05:02.239959+00;FUJIOKA
72089;S72089 - COLOMBO - AVENIDA PRESIDENTE KENNEDY - 600 - SAO JOSE - SC;;AVENIDA PRESIDENTE KENNEDY, 600;CAMPINAS;SAO JOSE;SC;88101000;-2.760.088;-486.113;2026-02-09 21:05:01.741346+00;COLOMBO
34586;S34586 - COLOMBO - RUA 700 - 401 - BALNEARIO CAMBORIU - SC;;RUA 700, 401;CENTRO;BALNEARIO CAMBORIU;SC;88330003;-2.699.084;-486.382;2026-02-09 21:05:01.947218+00;COLOMBO
78010;S78010 - COLOMBO - AVENIDA EXPEDICIONARIO - 1183 - SARANDI - RS;;AVENIDA EXPEDICIONARIO, 1183;;SARANDI;RS;99560000;-2.794.035;-5.292.125;2026-02-09 21:05:01.741346+00;COLOMBO
7196;S07196 - HAVAN - RUA SANTA ADELIA - 2 - CAMPO GRANDE - MS;;RUA SANTA ADELIA, 02;COHAFAMA;CAMPO GRANDE;MS;79006010;-2.047.758;-5.462.757;2026-02-09 21:05:02.384876+00;HAVAN
9625;S09625 - FUJIOKA - AVENIDA GOIAS - 215 - GOIANESIA - GO;;AVENIDA GOIAS, 215;;GOIANESIA;GO;76380001;-1.532.821;-4.911.727;2026-02-09 21:05:02.239959+00;FUJIOKA
12698;S12698 - COLOMBO - AVENIDA GETULIO VARGAS - 1830 - SANTIAGO - RS;;AVENIDA GETULIO VARGAS, 1830;;SANTIAGO;RS;97700000;-2.919.087;-5.486.835;2026-02-09 21:05:01.947218+00;COLOMBO
9806;S09806 - HAVAN - RODOVIA BR 158 - 6000 - PATO BRANCO - PR;;RODOVIA BR 158, 6000;BORTOT;PATO BRANCO;PR;85503300;-262.153.175;-526.819.435;2026-02-09 21:05:02.694969+00;HAVAN
5774;S05774 - DUFRIO - RUA DONA FRANCISCA - 4673 - JOINVILLE - SC;;Rua Dona Francisca, 4673;;JOINVILLE;SC;89221008;-2.626.834;-4.885.687;2026-02-09 21:05:02.694969+00;DUFRIO
84680;S84680 - COLOMBO - AV SILVIO AMERICO SASDELLI - 1842 - FOZ DO IGUACU - PR;;AVENIDA SILVIO AMERICO SASDELLI, 1842, SALA 01 EDIF LORIVO;ITAIPU A;FOZ DO IGUACU;PR;85866000;-2.549.451;-5.456.334;2026-02-09 21:05:02.694969+00;COLOMBO
86705;S86705 - COLOMBO - AVENIDA ASSIS BRASIL - 8600 - PORTO ALEGRE - RS;;AVENIDA ASSIS BRASIL, 8600;SARANDI;PORTO ALEGRE;RS;91140000;-2.997.978;-5.111.469;2026-02-09 21:05:01.598207+00;COLOMBO
81150;S81150 - COLOMBO - AVENIDA MAURICIO CARDOSO - 286 - FELIZ - RS;;AVENIDA MAURICIO CARDOSO, 286;;FELIZ;RS;95770000;-2.945.231;-5.130.677;2026-02-09 21:05:02.063994+00;COLOMBO
6386;S06386 - HAVAN - RUA DA AGRICULTURA - 840 - SANTA BARBARA D OESTE - SP;;RUA DA AGRICULTURA, 840;LOTEAMENTO INDUSTRIAL;SANTA BARBARA D OESTE;SP;13454000;-2.274.626;-4.736.366;2026-02-09 21:05:01.598207+00;HAVAN
88163;S88163 - COLOMBO - RUA DOS IMIGRANTES - 96 - NOVA VENEZA - SC;;RUA DOS IMIGRANTES, 96;;NOVA VENEZA;SC;88865000;-2.863.709;-495.007;2026-02-09 21:05:01.598207+00;COLOMBO
5802;S05802 - COLOMBO - AVENIDA SEVERIANO DE ALMEIDA - 508 - GETULIO VARGAS - RS;;AVENIDA SEVERIANO DE ALMEIDA, 508;;GETULIO VARGAS;RS;99900000;-2.788.472;-5.222.473;2026-02-09 21:05:02.063994+00;COLOMBO
850;S00850 - HAVAN - RODOVIA ANTONIO HEIL - 250 - BRUSQUE - SC;;RODOVIA ANTONIO HEIL, 250;CENTRO II;BRUSQUE;SC;88353100;-2.709.853;-4.890.556;2026-02-09 21:05:02.239959+00;HAVAN
7474;S07474 - FRIGELAR - AV SANTOS DUMONT - 4806 - LAURO DE FREITAS - BA;;Av Santos Dumont, 4806;;LAURO DE FREITAS;BA;42701260;-1.288.323;-3.831.608;2026-02-09 21:05:02.239959+00;FRIGELAR
1800;S01800 - UNIAR - AVENIDA NOVE DE JULHO - 5599 - SAO PAULO - SP;;Avenida Nove De Julho, 5599;SAO PAULO;SAO PAULO;SP;1407200;-2.358.044;-4.667.868;2026-02-09 21:05:01.598207+00;POLOAR
471;S00471 - FRIOPECAS - AVENIDA. JK - 960 - GOVERNADOR VALADARES - MG;;Avenida. Jk, 960;VILA BRETAS;GOVERNADOR VALADARES;MG;35030412;-1.887.023;-4.195.641;2026-02-09 21:05:01.598207+00;FRIOPECAS
18554;S18554 - REGIONAL SUL - HAVAN - MANAUS - MONTE DAS OLIVEIRAS - AM;;AVENIDA ARQUITETO JOSE HENRIQUES BENTO RODRIGUES, 3760;MONTE DAS OLIVEIRAS;MANAUS;AM;69093149;-30.001.514;-599.987.363;2026-02-09 21:05:02.384876+00;HAVAN
25323;S25323 - COLOMBO - RUA GETULIO VARGAS - 767 - CANOINHAS - SC;;RUA GETULIO VARGAS, 767;CENTRO;CANOINHAS;SC;89460046;-261.754;-5.038.999;2026-02-09 21:05:01.741346+00;COLOMBO
3603;S03603 - HAVAN - SHOPPING AVENIDA CENTER - MARINGA - PR;;AVENIDA ADVOGADO HORACIO RACCANELLO FILHO, 5120;ARMAZEM;MARINGA;PR;87020035;-2.341.851;-5.193.093;2026-02-09 21:05:02.694969+00;HAVAN
76157;S23541 - COLOMBO - RUA HERCILIO LUZ - 401 - ITAJAI - SC;;RUA HERCILIO LUZ, 401;CENTRO;ITAJAI;SC;88301001;-2.690.592;-4.865.862;2026-02-09 21:05:01.741346+00;COLOMBO
8087;S08087 - HAVAN - RUA TRANSAMAZONICA - 3159 - MARABA - PA;;RUA TRANSAMAZONICA, 3159;AMAPA;MARABA;PA;68502290;-537.305;-4.913.458;2026-02-09 21:05:02.384876+00;HAVAN
82041;S82041 - COLOMBO - RUA NICOLAU KLUPPEL NETO - 1304 - PONTA GROSSA - PR;;RUA NICOLAU KLUPPEL NETO, 1304;CONTORNO;PONTA GROSSA;PR;84061000;-2.509.947;-5.020.176;2026-02-09 21:05:02.694969+00;COLOMBO
17738;S17738 - COLOMBO - AVENIDA AZENHA - SN - PORTO ALEGRE - RS;;AVENIDA AZENHA, SN;AZENHA;PORTO ALEGRE;RS;90160002;-300.528;-5.121.373;2026-02-09 21:05:02.063994+00;COLOMBO
51677;S51677 - COLOMBO - AVENIDA BRASIL - 629 - PORTAO - RS;;AVENIDA BRASIL, 629;;PORTAO;RS;93180000;-296.968;-5.123.561;2026-02-09 21:05:01.947218+00;COLOMBO
5819;S05819 - HAVAN - SHOPPING PANTANAL - CUIABA - MT;;AVENIDA HISTORIADOR RUBENS DE MENDONCA, 3300;JARDIM ACLIMACAO;CUIABA;MT;78020250;-155.753;-560.732;2026-02-09 21:05:02.384876+00;HAVAN
11101;S11101 - COLOMBO - RUA NOSSA SRA DA CONCEICAO - 153 - SAPUCAIA DO SUL - RS;;RUA NOSSA SRA DA CONCEICAO, 153;CENTRO;SAPUCAIA DO SUL;RS;93220270;-2.982.378;-5.114.759;2026-02-09 21:05:02.239959+00;COLOMBO
48960;S48960 - COLOMBO - AVENIDA JULIO DE CASTILHOS - 413 - RESTINGA SECA - RS;;AVENIDA JULIO DE CASTILHOS, 413;;RESTINGA SECA;RS;97200000;-2.981.575;-5.337.445;2026-02-09 21:05:01.947218+00;COLOMBO
6108;S06108 - COLOMBO - RUA JULIO DE CASTILHOS - 648 - CAMAQUA - RS;;RUA JULIO DE CASTILHOS, 648;;CAMAQUA;RS;96180000;-3.085.012;-5.181.266;2026-02-09 21:05:02.063994+00;COLOMBO
29400;S29400 - COLOMBO - RUA JORGE ZIPPERER - 243 - RIO NEGRINHO - SC;;RUA JORGE ZIPPERER, 243;;RIO NEGRINHO;SC;89295000;-2.625.663;-4.951.702;2026-02-09 21:05:01.947218+00;COLOMBO
71945;S71945 - COLOMBO - RUA ANITA GARIBALDI - 283 - ICARA - SC;;RUA ANITA GARIBALDI, 283;;ICARA;SC;88820000;-28.715;-4.929.959;2026-02-09 21:05:01.741346+00;COLOMBO
80340;S80340 - COLOMBO - AVENIDA NICOLAU INACIO - 1197 - SALTO DO LONTRA - PR;;AVENIDA NICOLAU INACIO, 1197;;SALTO DO LONTRA;PR;85670000;-2.578.226;-5.330.801;2026-02-09 21:05:02.694969+00;COLOMBO
5217;S05217 - COLOMBO - AVENIDA PEDRO ADAMS FILHO - 5273 - NOVO HAMBURGO - RS;;AVENIDA PEDRO ADAMS FILHO, 5273;CENTRO;NOVO HAMBURGO;RS;93510025;-2.968.621;-5.112.963;2026-02-09 21:05:02.063994+00;COLOMBO
12866;S12866 - HAVAN - SHOPPING JARAGUA - ARARAQUARA - ARARAQUARA - SP;;AVENIDA ALBERTO BENASSI, 2270;JARDIM DOS MANACAS;ARARAQUARA;SP;14801600;-2.178.434;-4.820.015;2026-02-09 21:05:01.598207+00;HAVAN
75690;S75690 - COLOMBO - RUA CESAR CARELLI - 217 - FAZENDA RIO GRANDE - PR;;RUA CESAR CARELLI, 217;PIONEIROS;FAZENDA RIO GRANDE;PR;83833054;-2.564.481;-493.153;2026-02-09 21:05:02.694969+00;COLOMBO
15377;S15377 - HAVAN - AVENIDA SAO PEDRO E - 2242 - CHAPECO - SC;;AVENIDA SAO PEDRO E, 2242;ENGENHO BRAUN;CHAPECO;SC;89809440;-270.945.067;-526.389.664;2026-02-09 21:05:01.741346+00;HAVAN
3156;S03156 - FERREIRA COSTA - SALVADOR/BA;;RUA VALE DOS BARRIS;BARRIS;SALVADOR;BA;40070055;-1.298.703;-3.851.598;2026-02-09 21:05:02.239959+00;FERREIRA COSTA
9300;S09300 - HAVAN - AVENIDA DO ESTADO DALMO VIEIRA - 4300 - BALNEARIO CAMBORIU - SC;;AVENIDA DO ESTADO DALMO VIEIRA, 4300;CENTRO;BALNEARIO CAMBORIU;SC;88339055;-269.917.662;-486.443.507;2026-02-09 21:05:01.947218+00;HAVAN
26052;S26052 - COLOMBO - AVENIDA WINSTON CHURCHILL - 2491 - CURITIBA - PR;;AVENIDA WINSTON CHURCHILL, 2491;CAPAO RASO;CURITIBA;PR;81150050;-2.551.829;-4.929.553;2026-02-09 21:05:02.576155+00;COLOMBO
9980;S09980 - COLOMBO - RUA JOSE BONIFACIO - 388 - IJUI - RS;;RUA JOSE BONIFACIO, 388;;IJUI;RS;98700000;-2.838.928;-5.391.325;2026-02-09 21:05:01.947218+00;COLOMBO
13676;S13676 - REGIONAL SUL - HAVAN - 0139 - MOGI MIRIM - JARDIM SCOMPARIM - SP;;AVENIDA PEDRO BOTESI, 2855;JARDIM SCOMPARIM;MOGI MIRIM;SP;13806635;-224.010.793;-469.723.316;2026-02-09 21:05:02.780508+00;HAVAN
445;S00445 - RAMSONS - AMAZONAS SHOPPING - MANAUS - AM;;Av. Djalma Batista, 482 - Parque 10 de Novembro;PARQUE 10 DE NOVEMBRO;MANAUS;AM;69053000;-30.946.028.083.608.200;-6.002.311.757.450.050;2026-02-09 21:05:02.384876+00;RAMSONS
80502;S80502 - COLOMBO - RUA FARROUPILHA - 271 - SAO MIGUEL DO IGUACU - PR;;RUA FARROUPILHA, 271;;SAO MIGUEL DO IGUACU;PR;85877000;-2.534.609;-5.424.028;2026-02-09 21:05:02.694969+00;COLOMBO
8320;S08320 - HAVAN - AVENIDA LIONS INTERNACIONAL - SN - TANGARA DA SERRA - MT;;AVENIDA LIONS INTERNACIONAL, SN;CENTRO;TANGARA DA SERRA;MT;78300000;-1.463.025;-5.752.616;2026-02-09 21:05:02.384876+00;HAVAN
25404;S25404 - COLOMBO - RUA DO COMERCIO - 318 - CONCORDIA - SC;;RUA DO COMERCIO, 318;CENTRO;CONCORDIA;SC;89700001;-2.723.006;-52.027;2026-02-09 21:05:01.741346+00;COLOMBO
1000;S01000 - DUFRIO - R. ENG. ALBERT LEIMER - 200 - GUARULHOS - SP;;R. Eng. Albert Leimer, 200;JARDIM SAO GERALDO;GUARULHOS;SP;7140020;-234.397.316;-465.063.539;2026-02-09 21:05:02.239959+00;DUFRIO
12009;S12009 - HAVAN - RUA ALMIRANTE JACEGUAY - 2935 - JOINVILLE - SC;;RUA ALMIRANTE JACEGUAY, 2935;COSTA E SILVA;JOINVILLE;SC;89220055;-2.627.395;-4.888.007;2026-02-09 21:05:02.694969+00;HAVAN
366;S00366 - AMBIENTE - AVENIDA TIRADENTES - 386 - LONDRINA - PR;;Avenida Tiradentes, 386;JD SHANGRI;LONDRINA;PR;86070545;-2.330.149;-5.117.719;2026-02-09 21:05:02.694969+00;AMBIENTE
4611;S04611 - DUFRIO - AVENIDA CRISTIANO MACHADO - 8889 - BELO HORIZONTE - MG;;Avenida Cristiano Machado, 8889;;BELO HORIZONTE;MG;31741401;-198.565;-4.393.516;2026-02-09 21:05:02.576155+00;DUFRIO
462;S00462 - DUFRIO - AVENIDA GENERAL MAC ARTHUR - 1595 - RECIFE - PE;;Avenida General Mac Arthur, 1595, Galpão 2;;RECIFE;PE;51150400;-811.036;-3.490.668;2026-02-09 21:05:01.598207+00;DUFRIO
73808;S73808 - COLOMBO - AVENIDA 29 DE ABRIL - 406 - GUARATUBA - PR;;AVENIDA 29 DE ABRIL, 406;;GUARATUBA;PR;83280000;-2.587.379;-4.857.582;2026-02-09 21:05:02.576155+00;COLOMBO
1704;S01704 - CLIMA RIO - RUA PARAIBUNA - 667 - SAO JOSE DOS CAMPOS - SP;;Rua Paraibuna, 667;JARDIM SAO DIMAS;SAO JOSE DOS CAMPOS;SP;12245020;-2.319.799;-4.588.711;2026-02-09 21:05:02.239959+00;CLIMA RIO
9130;S09130 - HAVAN - RODOVIA BR 369 - SN - ARAPONGAS - PR;;RODOVIA BR 369, SN;PARQUE INDUSTRIAL IV;ARAPONGAS;PR;86706430;-234.207.983;-514.249.769;2026-02-09 21:05:02.694969+00;HAVAN
10210;S10210 - COLOMBO - AVENIDA SANTA CRUZ - 428 - SANTA ROSA - RS;;AVENIDA SANTA CRUZ, 428;CENTRO;SANTA ROSA;RS;98780001;-2.786.992;-5.447.981;2026-02-09 21:05:02.239959+00;COLOMBO
1155;S01155 - HAVAN - SHOPPING NEUMARKT - BLUMENAU - SC;;RUA SETE DE SETEMBRO, 1213;CENTRO;BLUMENAU;SC;89010911;-2.691.963;-4.906.882;2026-02-09 21:05:02.063994+00;HAVAN
178;S00178 - UNIAR - AVENIDA. WASHINGTON LUIS - 1.755 - SOROCABA - SP;;Avenida. Washington Luís, 1.755;;SOROCABA;SP;18046700;-2.351.778;-4.747.162;2026-02-09 21:05:02.239959+00;STR
83528;S83528 - COLOMBO - RUA PEABIRU - 439 - CRUZEIRO DO OESTE - PR;;RUA PEABIRU, 439;;CRUZEIRO DO OESTE;PR;87400000;-2.378.171;-5.307.229;2026-02-09 21:05:02.694969+00;COLOMBO
135;S00135 - CENTRAL AR - FRANQUIA LAGOS/RJ;;Av. Cândido Tito de azeredo, 31;UNAMAR (TAMOIOS);CABO FRIO;RJ;28928536;-226.491.167;-420.056.277;2026-02-09 21:05:01.598207+00;CENTRAL AR
5204;;;0;VILA SAO TOMAZ;GOIANIA;GO;;0;0;2026-02-09 21:05:02.384876+00;FUJIOKA
10984;S10984 - FUJIOKA - BURITI SHOPPING RIO VERDE - RIO VERDE - GO;;RODOVIA BR 060, 1044;SOLAR CAMPESTRE;RIO VERDE;GO;75907580;-178.180.034;-509.429.054;2026-02-09 21:05:02.239959+00;FUJIOKA
3940;S03940 - COLOMBO - RUA SAO PEDRO - 511 - GRAMADO - RS;;RUA SAO PEDRO, 511;;GRAMADO;RS;95670000;-2.937.748;-5.087.612;2026-02-09 21:05:02.063994+00;COLOMBO
67409;S67409 - COLOMBO - AVENIDA DO ESTADO DALMO VIEIRA - 3280 - BALNEARIO CAMBORIU - SC;;AVENIDA DO ESTADO DALMO VIEIRA, 3280;NACOES;BALNEARIO CAMBORIU;SC;88338065;-2.698.445;-4.863.999;2026-02-09 21:05:01.947218+00;COLOMBO
7005;S07005 - HAVAN - AV ITAVUVU - 2891 - SOROCABA - SP;;AVENIDA ITAVUVU, 2891;JARDIM SANTA CECILIA;SOROCABA;SP;18078005;-234.591.371;-474.802.241;2026-02-09 21:05:02.780508+00;HAVAN
2146;S18554 - REGIONAL SUL - HAVAN - MANAUS - MONTE DAS OLIVEIRAS - AM;;AVENIDA ARQUITETO JOSE HENRIQUES BENTO RODRIGUES, 3760;MONTE DAS OLIVEIRAS;MANAUS;AM;69093149;-30.001.514;-599.987.363;2026-02-09 21:05:02.384876+00;RAMSONS
32613;S32613 - COLOMBO - AVENIDA XV DE NOVEMBRO - 818 - CORNELIO PROCOPIO - PR;;AVENIDA XV DE NOVEMBRO, 818;;CORNELIO PROCOPIO;PR;86300000;-2.318.347;-5.064.861;2026-02-09 21:05:02.576155+00;COLOMBO
