código_pdv;nome_pdv;razao_social;status;endereco;bairro;cidade;uf;cep;latitude;longitude;created_at;bandeira
39030;39030 - COLOMBO - RUA DOS ANDRADAS - 264 - SANTANA DO LIVRAMENTO - RS;8,98E+13;1;;CENTRO;SANTANA DO LIVRAMENTO;RS;97573572;-3.089.303;-5.553.423;2026-02-09 21:05:01.947218+00;COLOMBO
5005;05005 - FRIGELAR - AVENIDA DOS AUTONOMISTAS - 6230 - OSASCO - SP;9,27E+13;1;;QUITAUNA;OSASCO;SP;6194060;-2.352.329;-4.680.634;2026-02-09 21:05:02.239959+00;FRIGELAR
88678;88678 - COLOMBO - AVENIDA BRASIL - 1311 - TANGARA DA SERRA - MT;3,30E+13;1;;JARDIM CIDADE ALTA;TANGARA DA SERRA;MT;78306157;-1.462.701;-5.749.696;2026-02-09 21:05:02.384876+00;COLOMBO
1787;01787 - DUFRIO - AVENIDA MARIO LEAL FERREIRA - 1664 - SALVADOR - BA;1,75E+12;1;;;SALVADOR;BA;40285600;-1.298.443;-3.848.673;2026-02-09 21:05:02.239959+00;DUFRIO
6203;06203 - HAVAN - RUA NICOLAU ASSIS - 969 - BAURU - SP;7,94E+13;1;;JARDIM PANORAMA;BAURU;SP;17011102;-2.233.614;-4.905.235;2026-02-09 21:05:01.598207+00;HAVAN
6312;06312 - DUFRIO - RUA ANTONIO ALVES - 611 - BAURU - SP;1,75E+12;1;;CENTRO;BAURU;SP;17010170;-2.231.831;-4.907.111;2026-02-09 21:05:01.598207+00;DUFRIO
4326;04326 - COLOMBO - RUA TIRADENTES - 154 - CANOAS - RS;8,98E+13;1;;CENTRO;CANOAS;RS;92010260;-2.991.914;-5.117.974;2026-02-09 21:05:02.063994+00;COLOMBO
1960;01960 - FERREIRA COSTA - AVENIDA MAL. MASCARENHAS DE MORAIS - 2967 - RECIFE - PE;1,02E+13;1;;;RECIFE;PE;51150905;-811.161;-3.491.225;2026-02-09 21:05:01.598207+00;FERREIRA COSTA
80774;80774 - COLOMBO - RUA FELIPE SCHIMIDT - 165 - FLORIANOPOLIS - SC;8,98E+13;1;;CENTRO;FLORIANOPOLIS;SC;88010000;-2.759.676;-4.855.164;2026-02-09 21:05:02.063994+00;COLOMBO
67328;67328 - COLOMBO - RUA GOVERNADOR CELSO RAMOS - 15 - LAGUNA - SC;8,98E+13;1;;;LAGUNA;SC;88790000;-2.848.017;-4.878.384;2026-02-09 21:05:01.947218+00;COLOMBO
