código_pdv;nome_pdv;razao_social;status;endereco;bairro;cidade;uf;cep;latitude;longitude;created_at;bandeira
83951;83951 - COLOMBO - AV AV PARAGUASSU - 1939 - IMBE - RS;8,98E+13;1;;;IMBE;RS;95625000;-2.992.431;-50.102;2026-02-09 21:05:01.741346+00;COLOMBO
28004;28004 - COLOMBO - AVENIDA ARAPONGAS - 370 - ARAPONGAS - PR;8,98E+13;1;;CENTRO;ARAPONGAS;PR;86700050;-2.341.281;-5.143.333;2026-02-09 21:05:02.576155+00;COLOMBO
2153;02153 - ANGELONI - RUA SETE DE SETEMBRO - 100 - BLUMENAU - SC;8,36E+13;1;;CENTRO;BLUMENAU;SC;89010200;-2.692.216;-4.906.519;2026-02-09 21:05:02.063994+00;ANGELONI
4882;04882 - FRIGELAR - RUA HEITOR LIBERATO - 2031 - ITAJAI - SC;9,27E+13;1;;SAO JUDAS;ITAJAI;SC;88303101;-2.690.851;-4.867.826;2026-02-09 21:05:02.239959+00;FRIGELAR
87787;87787 - COLOMBO - AVENIDA PAPAGAIOS - 1687 - CASCAVEL - PR;8,98E+13;1;;FLORESTA;CASCAVEL;PR;85814760;-2.491.974;-5.342.168;2026-02-09 21:05:02.694969+00;COLOMBO
75347;75347 - COLOMBO - AVENIDA GETULIO VARGAS - 309 - SOMBRIO - SC;8,98E+13;1;;;SOMBRIO;SC;88960000;-2.911.254;-4.963.617;2026-02-09 21:05:01.741346+00;COLOMBO
43055;43055 - COLOMBO - RUA GETULIO VARGAS - 1007 - PIRAQUARA - PR;8,98E+13;1;;CENTRO;PIRAQUARA;PR;83301010;-2.544.843;-4.906.706;2026-02-09 21:05:02.576155+00;COLOMBO
31480;31480 - COLOMBO - RUA JOAO MOSSMANN - 27 - PAROBE - RS;8,98E+13;1;;;PAROBE;RS;95630000;-2.962.895;-5.083.208;2026-02-09 21:05:01.947218+00;COLOMBO
70035;70035 - COLOMBO - AVENIDA LIBERDADE - 1758 - VIAMAO - RS;8,98E+13;1;;SANTA ISABEL;VIAMAO;RS;94480500;-3.006.592;-5.110.729;2026-02-09 21:05:01.947218+00;COLOMBO
72836;72836 - COLOMBO - RUA CAETANO SILVEIRA DE MATOS - 2686 - PALHOCA - SC;8,98E+13;1;;CENTRO;PALHOCA;SC;88130005;-2.764.569;-4.866.625;2026-02-09 21:05:01.741346+00;COLOMBO
127;00127 - WEBCONTINENTAL - TRAVENIDAESSA VENEZUELA 210 NAVENIDAEGANTES - SN - PORTO ALEGRE - RS;8,58E+12;1;;NAVEGANTES;PORTO ALEGRE;RS;90240220;-299.930.506;-511.984.995;2026-02-09 21:05:02.239959+00;WEBCONTINENTAL
10470;10470 - FUJIOKA - SHOPPING SANTA MARIA BRASILIA - BRASILIA - DF;1,01E+12;1;;SANTA MARIA;BRASILIA;DF;72544204;-1.600.667;-4.800.067;2026-02-09 21:05:02.239959+00;FUJIOKA
16691;16691 - HAVAN - AVENIDA AUGUSTO MONTENEGRO - 2216 - BELEM - PA;7,94E+13;1;;MANGUEIRAO;BELEM;PA;66640000;-137.771;-4.844.063;2026-02-09 21:05:02.384876+00;HAVAN
2227;02227 - RAMSONS - AVENIDA FRANCISCO QUEIROZ - 429 - MANAUS - AM;3,34E+12;1;;COLONIA SANTO ANTONIO;MANAUS;AM;69093000;-30.322.393;-600.012.309;2026-02-09 21:05:02.384876+00;RAMSONS
667;00667 - AMBIENTE - R. MANOEL BANDEIRA - 147 - FOZ DO IGUACU - PR;5,10E+12;1;;VILA BRASILIA;FOZ DO IGUACU;PR;85864210;-255.192;-5.458.821;2026-02-09 21:05:02.694969+00;AMBIENTE
11622;11622 - HAVAN - RODOVIA ARMANDO CALIL BULOS - 170 - FLORIANOPOLIS - SC;7,94E+13;1;;VARGEM GRANDE;FLORIANOPOLIS;SC;88058000;-2.745.311;-4.845.521;2026-02-09 21:05:02.239959+00;HAVAN
3839;03839 - CLIMA RIO - AVENIDA GOVERNADOR PEDRO TOLEDO - 671 - CAMPINAS - SP;8,82E+12;1;;BOMFIM;CAMPINAS;SP;1117010;-2.290.147;-4.707.797;2026-02-09 21:05:02.239959+00;CLIMA RIO
18988;18988 - HAVAN - RUA CRUZEIRO DO SUL - 400 - SANTA ROSA - RS;7,94E+13;1;;CENTRAL;SANTA ROSA;RS;98787452;-278.629;-544.627;2026-02-09 21:05:01.741346+00;HAVAN
17663;17663 - REGIONAL SUL - HAVAN - RESENDE - PARAISO - RJ;7,94E+13;1;;PARAISO;RESENDE;RJ;27536025;-224.596.083;-444.367.039;2026-02-09 21:05:01.598207+00;HAVAN
3710;03710 - ANGELONI - RUA BRUSQUE - 358 - ITAJAI - SC;8,36E+13;1;;;ITAJAI;SC;88303000;-2.691.092;-4.866.551;2026-02-09 21:05:02.063994+00;ANGELONI
976;00976 - FRIGELAR - RUA HORTENCIO RIBEIRO DE LUNA - 1841 - JOAO PESSOA - PB;9,27E+13;1;;DISTRITO INDUSTRIAL;JOAO PESSOA;PB;58081400;-718.363.995.624.735;-349.009.399.359.113;2026-02-09 21:05:01.598207+00;FRIGELAR
76823;76823 - COLOMBO - RUA PRESIDENTE NEREU RAMOS - 243 - LAGES - SC;8,98E+13;1;;CENTRO;LAGES;SC;88502170;-2.781.422;-5.032.725;2026-02-09 21:05:01.741346+00;COLOMBO
78362;78362 - COLOMBO - RUA BARAO DO RIO BRANCO - 226 - JULIO DE CASTILHOS - RS;8,98E+13;1;;;JULIO DE CASTILHOS;RS;98130000;-2.922.517;-5.368.366;2026-02-09 21:05:01.741346+00;COLOMBO
37594;37594 - COLOMBO - CANOAS SHOPPING - CANOAS - RS;8,98E+13;1;;CENTRO;CANOAS;RS;92310564;-2.991.065;-5.118.161;2026-02-09 21:05:01.947218+00;COLOMBO
3596;03596 - CLIMA RIO - AV. ENG. DOMINGOS FERREIRA - 1274 - RECIFE - PE;8,82E+12;1;;BOA VIAGEM;RECIFE;PE;51011050;-810.076;-3.488.752;2026-02-09 21:05:01.598207+00;CLIMA RIO
283;00283 - RAMSONS - RUA MARCILIO DIAS - 255 - MANAUS - AM;3,34E+12;1;;CENTRO;MANAUS;AM;69005270;-31.363.857;-600.219.494;2026-02-09 21:05:02.384876+00;RAMSONS
26486;26486 - COLOMBO - AVENIDA HORACIO KLABIN - 70 - TELEMACO BORBA - PR;8,98E+13;1;;CENTRO;TELEMACO BORBA;PR;84261000;-2.432.444;-5.062.162;2026-02-09 21:05:02.576155+00;COLOMBO
18392;18392 - REGIONAL SUL - HAVAN - PRIMAVERA DO LESTE - CIDADE PRIMAVERA II - MT;7,94E+13;1;;;PRIMAVERA DO LESTE;MT;78850000;-1.554.563;-5.429.506;2026-02-09 21:05:02.384876+00;HAVAN
5489;05489 - COLOMBO - AVENIDA BRASIL - 2599 - CAMPO BOM - RS;8,98E+13;1;;;CAMPO BOM;RS;93700000;-2.967.912;-5.106.164;2026-02-09 21:05:02.063994+00;COLOMBO
70892;70892 - COLOMBO - AVENIDA JACOB MACANHAN - 468 - PINHAIS - PR;8,98E+13;1;;PINEVILLE;PINHAIS;PR;83320392;-2.542.873;-4.918.323;2026-02-09 21:05:02.576155+00;COLOMBO
84508;84508 - COLOMBO - AV LONDRINA - 644 - SARANDI - PR;8,98E+13;1;;CENTRO;SARANDI;PR;87111220;-2.344.134;-5.187.299;2026-02-09 21:05:02.694969+00;COLOMBO
46592;46592 - COLOMBO - RUA MARIA SIMAO - 315 - INDAIAL - SC;8,98E+13;1;;CENTRO;INDAIAL;SC;89080001;-2.688.987;-4.924.411;2026-02-09 21:05:01.947218+00;COLOMBO
17230;17230 - HAVAN - RUA DIOGENES CHIANCA - 2322 - JOAO PESSOA - PB;7,94E+13;1;;AGUA FRIA;JOAO PESSOA;PB;58053000;-716.445;-3.486.187;2026-02-09 21:05:01.598207+00;HAVAN
10146;10146 - HAVAN - AVENIDA VALDON VARJAO - 2122 - BARRA DO GARCAS - MT;7,94E+13;1;;CENTRO;BARRA DO GARCAS;MT;78600000;-1.588.028;-5.227.976;2026-02-09 21:05:02.239959+00;HAVAN
7180;07180 - COLOMBO - RUA SAO JOSE - 600 - GUAIBA - RS;8,98E+13;1;;CENTRO;GUAIBA;RS;92704555;-3.010.808;-5.131.893;2026-02-09 21:05:02.063994+00;COLOMBO
11292;11292 - COLOMBO - RUA ACAMPAMENTO - 412 - SANTA MARIA - RS;8,98E+13;1;;CENTRO;SANTA MARIA;RS;97050002;-2.968.936;-5.380.465;2026-02-09 21:05:02.239959+00;COLOMBO
3360;03360 - HAVAN - AVENIDA SETE DE SETEMBRO - 1500 - ITAJAI - SC;7,94E+13;1;;FAZENDA;ITAJAI;SC;88301204;-2.691.918;-4.865.414;2026-02-09 21:05:02.063994+00;HAVAN
4151;04151 - FUJIOKA - AVENIDA ANHANGUERA - 5239 - GOIANIA - GO;1,01E+12;1;;SETOR CENTRAL;GOIANIA;GO;74043010;-166.754;-4.925.972;2026-02-09 21:05:02.384876+00;FUJIOKA
68057;68057 - COLOMBO - AVENIDA DOUTOR VICENTE MACHADO - 231 - PONTA GROSSA - PR;8,98E+13;1;;CENTRO;PONTA GROSSA;PR;84010000;-2.509.479;-501.584;2026-02-09 21:05:02.576155+00;COLOMBO
5123;05123 - FUJIOKA - SENADOR CANEDO;1,01E+12;1;;QUADRA 1G;SEM CANEDO;GO;;-1.669.688;-4.910.215;2026-02-09 21:05:02.384876+00;FUJIOKA
86209;86209 - COLOMBO - RUA PARANA - 813 - JACAREZINHO - PR;8,98E+13;1;;;JACAREZINHO;PR;86400000;-2.315.942;-4.997.496;2026-02-09 21:05:02.694969+00;COLOMBO
3720;03720 - FRIGELAR - AV. ALMIRANTE BARROSO - 280 - BELEM - PA;9,27E+13;1;;SAO BRAS;BELEM;PA;66010020;-14.458.970.633.259;-484.645.041.322.283;2026-02-09 21:05:02.384876+00;FRIGELAR
83013;83013 - COLOMBO - RUA GENERAL DALTRO FILHO - 1095 - ROCA SALES - RS;8,98E+13;1;;;ROCA SALES;RS;95735000;-2.928.695;-518.739;2026-02-09 21:05:01.741346+00;COLOMBO
14486;14486 - HAVAN - AVENIDA SENADOR SALGADO FILHO - 7277 - VIAMAO - RS;7,94E+13;1;;JARDIM KRAHE;VIAMAO;RS;94435000;-3.008.506;-5.105.555;2026-02-09 21:05:01.741346+00;HAVAN
1174;01174 - RAMSONS - SHOPPING STUDIO 5 FESTIVAL MALL - MANAUS - AM;3,34E+12;1;;DISTRITO INDUSTRIAL I;MANAUS;AM;69075005;-31.244.495;-599.833.157;2026-02-09 21:05:02.576155+00;RAMSONS
11541;11541 - HAVAN - ACESSO ADOLFO ZIGUELLI - 800 - JOACABA - SC;7,94E+13;1;;BOA VISTA;JOACABA;SC;89600000;-2.717.522;-5.151.593;2026-02-09 21:05:02.239959+00;HAVAN
15962;15962 - HAVAN - RUA OTAVIO SCHEMES - 4105 - GRAVATAI - RS;7,94E+13;1;;BARNABE;GRAVATAI;RS;94155000;-2.991.502;-5.102.971;2026-02-09 21:05:01.741346+00;HAVAN
30408;30408 - COLOMBO - AVENIDA AMAZONAS - 711 - MANDAGUARI - PR;8,98E+13;1;;;MANDAGUARI;PR;86975000;-23.527;-5.167.387;2026-02-09 21:05:02.576155+00;COLOMBO
23541;23541 - COLOMBO - RUA HERCILIO LUZ - 401 - ITAJAI - SC;8,98E+13;1;;CENTRO;ITAJAI;SC;88301001;-2.690.592;-4.865.862;2026-02-09 21:05:01.741346+00;COLOMBO
4964;04964 - DUFRIO - AV. PHILADELPHO MANOEL GOUVEIA NETO - 2551 - SAO JOSE DO RIO PRETO - SP;1,75E+12;1;;JARDIM ANGELICA;SAO JOSE DO RIO PRETO;SP;15050006;-2.080.322;-4.937.746;2026-02-09 21:05:01.598207+00;DUFRIO
31641;31641 - COLOMBO - AVENIDA LONDRINA - 499 - NOVA LONDRINA - PR;8,98E+13;1;;;NOVA LONDRINA;PR;87970000;-2.276.527;-5.298.307;2026-02-09 21:05:02.576155+00;COLOMBO
22308;22308 - COLOMBO - RUA 7 DE SETEMBRO - 860 - TOLEDO - PR;8,98E+13;1;;CENTRO;TOLEDO;PR;85900220;-2.473.313;-5.373.787;2026-02-09 21:05:02.576155+00;COLOMBO
264;00264 - HAVAN - RODOVIA BR 282 KM 4 - 3700 - FLORIANOPOLIS - SC;7,94E+13;1;;CAPOEIRAS;FLORIANOPOLIS;SC;88090700;-276.031.123;-485.909.112;2026-02-09 21:05:02.239959+00;HAVAN
9463;09463 - FUJIOKA - AVENIDA BRASIL - 360 - ANAPOLIS - GO;1,01E+12;1;;ANDRACEL CENTER;ANAPOLIS;GO;;-1.632.531;-489.484;2026-02-09 21:05:02.239959+00;FUJIOKA
779;00779 - HAVAN - RUA ORESTES CAMILLI - 91 - CURITIBA - PR;7,94E+13;1;;PRADO VELHO;CURITIBA;PR;80215330;-2.546.319;-4.925.217;2026-02-09 21:05:02.694969+00;HAVAN
8672;08672 - HAVAN - ECO VALE SHOPPING - LORENA - SP;7,94E+13;1;;SANTA LUCRECIA;LORENA;SP;12612550;-227.551.025;-451.064.171;2026-02-09 21:05:02.780508+00;HAVAN
11020;11020 - COLOMBO - AVENIDA FLORES DA CUNHA - 1731 - CACHOEIRINHA - RS;8,98E+13;1;;VILA CACHOEIRINHA;CACHOEIRINHA;RS;94910003;-2.994.956;-5.109.688;2026-02-09 21:05:02.239959+00;COLOMBO
112;00112 - UNIAR - AVENIDA ITATIAIA - 949 - RIBEIRAO PRETO - SP;7,16E+12;1;;RIBEIRAO PRETO;RIBEIRAO PRETO;SP;14025240;-2.119.279;-4.781.299;2026-02-09 21:05:01.598207+00;POLOAR
78443;78443 - COLOMBO - AVENIDA GENERAL FLORES DA CUNHA - 895 - SEBERI - RS;8,98E+13;1;;;SEBERI;RS;98380000;-2.748.312;-5.340.102;2026-02-09 21:05:01.741346+00;COLOMBO
3001;03001 - COLOMBO - RUA RAMIRO BARCELOS - 2016 - MONTENEGRO - RS;8,98E+13;1;;;MONTENEGRO;RS;95780000;-2.968.573;-5.146.108;2026-02-09 21:05:02.063994+00;COLOMBO
11603;11603 - FUJIOKA - AVENIDA VINTE DE AGOSTO - 1468 - CATALAO - GO;1,01E+12;1;;SETOR CENTRAL;CATALAO;GO;75701010;-1.816.775;-4.794.712;2026-02-09 21:05:02.239959+00;FUJIOKA
2065;02065 - RAMSONS - SHOPPING PONTA NEGRA - MANAUS - AM;3,34E+12;1;;PONTA NEGRA;MANAUS;AM;69037000;-30.764.118;-600.819.351;2026-02-09 21:05:02.384876+00;RAMSONS
49508;49508 - COLOMBO - AVENIDA ASSIS BRASIL - 2278 - PORTO ALEGRE - RS;8,98E+13;1;;CRISTO REDENTOR;PORTO ALEGRE;RS;91010002;-3.001.136;-5.116.478;2026-02-09 21:05:01.947218+00;COLOMBO
18890;18890 - COLOMBO - RUA CORREIA PINTO - 157 - LAGES - SC;8,98E+13;1;;CENTRO;LAGES;SC;88502201;-2.781.359;-5.032.581;2026-02-09 21:05:01.741346+00;COLOMBO
114;00114 - A.DIAS - R. TEN. ALBERTOICCIATI - 120 - SAO PAULO - SP;5,95E+12;1;;VARZEA DA BARRA FUNDA;SAO PAULO;SP;1140130;-2.351.969;-4.667.227;2026-02-09 21:05:01.598207+00;A.DIAS
24785;24785 - COLOMBO - AVENIDA INDEPENDENCIA - 1160 - PALOTINA - PR;8,98E+13;1;;;PALOTINA;PR;85950000;-242.832.328;-538.389.681;2026-02-09 21:05:02.576155+00;COLOMBO
4830;04830 - COLOMBO - AVENIDA OSVALDO ARANHA - 598 - VENANCIO AIRES - RS;8,98E+13;1;;;VENANCIO AIRES;RS;95800000;-2.960.544;-5.219.209;2026-02-09 21:05:02.063994+00;COLOMBO
5304;05304 - HAVAN - RODOVIA WASHINGTON LUIS - SN - SAO CARLOS - SP;7,94E+13;1;;JARDIM MARACANA;SAO CARLOS;SP;13571291;-2.204.061;-4.786.174;2026-02-09 21:05:02.780508+00;HAVAN
17906;17906 - REGIONAL SUL - HAVAN - CONCORDIA - SAO CRISTOVAO - SC;7,94E+13;1;;SAO CRISTOVAO;CONCORDIA;SC;89711690;-2.722.631;-519.768;2026-02-09 21:05:02.063994+00;HAVAN
81401;81401 - COLOMBO - AV VALDOMIRO BOCCHESE - 399 - ANTONIO PRADO - RS;8,98E+13;1;;;ANTONIO PRADO;RS;95250000;-2.885.719;-5.128.579;2026-02-09 21:05:02.063994+00;COLOMBO
7924;07924 - FUJIOKA - AVENIDA INDEPENDENCIA - SN - APARECIDA DE GOIANIA - GO;1,01E+12;1;;INDEPENDENCIA;APARECIDA DE GOIANIA;GO;74967145;-1.682.385;-4.928.274;2026-02-09 21:05:02.384876+00;FUJIOKA
18040;18040 - HAVAN - AVENIDA ASSIS BRASIL - 11120 - PORTO ALEGRE - RS;7,94E+13;1;;SARANDI;PORTO ALEGRE;RS;91140000;-299.749;-5.111.683;2026-02-09 21:05:02.063994+00;HAVAN
526;00526 - RAMSONS - RUA DOUTOR MOREIRA - 190 - MANAUS - AM;3,34E+12;1;;CENTRO;MANAUS;AM;69005250;-31.362.745;-600.219.278;2026-02-09 21:05:02.384876+00;RAMSONS
13595;13595 - HAVAN - POLO SHOPPING INDAIATUBA - INDAIATUBA - SP;7,94E+13;1;;JARDIM TROPICAL;INDAIATUBA;SP;13344580;-23.116.326;-472.194.275;2026-02-09 21:05:02.780508+00;HAVAN
1220;01220 - COLOMBO - AVENIDA AFONSO PENA - 315 - LAGOA VERMELHA - RS;8,98E+13;1;;;LAGOA VERMELHA;RS;95300000;-2.820.975;-5.152.497;2026-02-09 21:05:02.063994+00;COLOMBO
123;00123 - UNIAR - RUA IPIRANGA - 134 - RIO DE JANEIRO - RJ;3,06E+13;1;;RIO DE JANEIRO;RIO DE JANEIRO;RJ;22231120;-2.293.584;-4.318.092;2026-02-09 21:05:01.598207+00;POLOAR
40713;40713 - COLOMBO - AVENIDA INGLATERRA - 868 - CAMBE - PR;8,98E+13;1;;CENTRO;CAMBE;PR;86181000;-2.327.808;-5.128.124;2026-02-09 21:05:02.576155+00;COLOMBO
12602;12602 - HAVAN - AVENIDA RUY RODRIGUEZ - 1540 - CAMPINAS - SP;7,94E+13;1;;JARDIM NOVO CAMPOS ELISEOS;CAMPINAS;SP;13060192;-229.431;-4.710.903;2026-02-09 21:05:02.780508+00;HAVAN
15603;15603 - COLOMBO - RUA XV DE NOVEMBRO - 255 - CACAPAVA DO SUL - RS;8,98E+13;1;;;CACAPAVA DO SUL;RS;96570000;-3.050.921;-5.349.242;2026-02-09 21:05:01.741346+00;COLOMBO
30750;30750 - COLOMBO - RUA PROFESSOR A AMAZILIA - 312 - UNIAO DA VITORIA - PR;8,98E+13;1;;PONTE NOVA;UNIAO DA VITORIA;PR;84600010;-2.623.134;-5.108.795;2026-02-09 21:05:02.576155+00;COLOMBO
4685;04685 - HAVAN - RUA 418 - 55 - ITAPEMA - SC;7,94E+13;1;;MORRETES;ITAPEMA;SC;88220000;-271.188.863;-486.101.529;2026-02-09 21:05:02.063994+00;HAVAN
6370;06370 - COLOMBO - RUA TIRADENTES - 251 - CANOAS - RS;8,98E+13;1;;CENTRO;CANOAS;RS;92010260;-2.991.912;-5.118.037;2026-02-09 21:05:02.063994+00;COLOMBO
38132;38132 - COLOMBO - AVENIDA BARAO DO RIO BRANCO - 608 - TORRES - RS;8,98E+13;1;;;TORRES;RS;95560000;-2.933.548;-4.973.302;2026-02-09 21:05:01.947218+00;COLOMBO
16772;16772 - REGIONAL SUL - HAVAN - CAPAO DA CANOA - ZONA NOVA - RS;7,94E+13;1;;;CAPAO DA CANOA;RS;95555000;-297.653.693;-50.053.924;2026-02-09 21:05:01.741346+00;HAVAN
11975;11975 - HAVAN - RODOVIA SC 355 - SN - VIDEIRA - SC;7,94E+13;1;;PORTAL DAS VIDEIRAS;VIDEIRA;SC;89560000;-2.700.515;-5.108.218;2026-02-09 21:05:02.239959+00;HAVAN
177;00177 - UNIAR - R. JOSE DO PATROCINIO - 637 - JUNDIAI - SP;4,30E+13;1;;VILA ARGOS VELHA;JUNDIAI;SP;13201640;-2.319.282;-4.687.614;2026-02-09 21:05:02.780508+00;STR
85229;85229 - COLOMBO - RUA QUINZE DE NOVEMBRO - 7535 - JOINVILLE - SC;8,98E+13;1;;VILA NOVA;JOINVILLE;SC;89237001;-2.628.677;-4.890.853;2026-02-09 21:05:02.694969+00;COLOMBO
66003;66003 - COLOMBO - RUA MARECHAL FLORIANO - 48 - BENTO GONCALVES - RS;8,98E+13;1;;CENTRO;BENTO GONCALVES;RS;95700010;-2.916.789;-5.151.728;2026-02-09 21:05:01.947218+00;COLOMBO
2081;02081 - FRIGELAR - AVENIDA NOSSA SENHORA DA PAZ 355 - 355 - SAO JOSE DO RIO PRETO - SP;9,27E+13;1;;JARDIM ALTO ALEGRE;SAO JOSE DO RIO PRETO;SP;15055500;-2.078.810.151.149;-49.355.949.179.175;2026-02-09 21:05:01.598207+00;FRIGELAR
68480;68480 - COLOMBO - RUA OTTO PFUETZENREUTER - 815 - JOINVILLE - SC;8,98E+13;1;;COSTA E SILVA;JOINVILLE;SC;89219202;-2.626.771;-4.887.232;2026-02-09 21:05:02.576155+00;COLOMBO
6629;06629 - HAVAN - AVENIDA FRANCISCO FERREIRA LOPES - 3300 - MOGI DAS CRUZES - SP;7,94E+13;1;;VILA JUNDIAI;MOGI DAS CRUZES;SP;8745000;-2.354.032;-4.623.028;2026-02-09 21:05:02.780508+00;HAVAN
72593;72593 - COLOMBO - RODOVIA ARMANDO CALIL BULOS - 5999 - FLORIANOPOLIS - SC;8,98E+13;1;;INGLESES DO RIO VERMELHO;FLORIANOPOLIS;SC;88058001;-2.743.767;-4.840.144;2026-02-09 21:05:01.741346+00;COLOMBO
543;00543 - DUFRIO - AVENIDA GUILHERME MAXWELL - 356 - RIO DE JANEIRO - RJ;1,75E+12;1;;BONSUCESSO;RIO DE JANEIRO;RJ;21040212;-2.286.337;-4.324.949;2026-02-09 21:05:01.598207+00;DUFRIO
25595;25595 - COLOMBO - AVENIDA BRASILIA - 1552 - MEDIANEIRA - PR;8,98E+13;1;;;MEDIANEIRA;PR;85884000;-2.529.314;-5.409.389;2026-02-09 21:05:02.576155+00;COLOMBO
74537;74537 - COLOMBO - RUA NEREU RAMOS - 511 - IMBITUBA - SC;8,98E+13;1;;;IMBITUBA;SC;88780000;-2.823.935;-4.866.631;2026-02-09 21:05:01.741346+00;COLOMBO
82556;82556 - COLOMBO - AV SUL BRASIL - 83 - MARAVILHA - SC;8,98E+13;1;;;MARAVILHA;SC;89874000;-267.668;-5.317.547;2026-02-09 21:05:02.063994+00;COLOMBO
14470;14470 - COLOMBO - AVENIDA JULIO DE CASTILHOS - 619 - TRES PASSOS - RS;8,98E+13;1;;;TRES PASSOS;RS;98600000;-2.745.568;-5.393.116;2026-02-09 21:05:01.741346+00;COLOMBO
15956;15956 - COLOMBO - RUA BENJAMIN CONSTANT - 126 - RIO GRANDE - RS;8,98E+13;1;;CENTRO;RIO GRANDE;RS;96200090;-3.203.223;-5.209.316;2026-02-09 21:05:01.741346+00;COLOMBO
7843;07843 - FUJIOKA - QUADRA SN QUADRA 03 - SN - BRASILIA - DF;1,01E+12;1;;SETOR NORTE (BRAZLANDIA);BRASILIA;DF;72705030;-15.708.703;-479.143.752;2026-02-09 21:05:02.384876+00;FUJIOKA
13323;13323 - REGIONAL SUL - HAVAN - 0132 - PARANAVAI - JARDIM SANTOS DUMONT - PR;7,94E+13;1;;CHACARAS JARAGUA;PARANAVAI;PR;87706610;-2.306.862;-5.242.762;2026-02-09 21:05:02.694969+00;HAVAN
7775;07775 - COLOMBO - RUA MARECHAL FLORIANO - 1833 - SANTO ANGELO - RS;8,98E+13;1;;CENTRO;SANTO ANGELO;RS;98803433;-2.829.741;-5.426.004;2026-02-09 21:05:01.947218+00;COLOMBO
6745;06745 - FRIGELAR - RUA COELHO NETO - 337 - JOINVILLE - SC;9,27E+13;1;;SANTO ANTONIO;JOINVILLE;SC;89218538;-2.627.612;-4.885.125;2026-02-09 21:05:02.694969+00;FRIGELAR
21255;21255 - COLOMBO - AVENIDA MARECHAL DEODORO - 137 - CURITIBA - PR;8,98E+13;1;;CENTRO;CURITIBA;PR;80020320;-2.543.194;-4.927.089;2026-02-09 21:05:02.576155+00;COLOMBO
191;00191 - A.DIAS - AVENIDA PRESIDENTE COSTA E SILVA - 609 - PRAIA GRANDE - SP;9,57E+12;1;;BOQUEIRAO;PRAIA GRANDE;SP;11701000;-2.400.574;-4.641.337;2026-02-09 21:05:02.239959+00;A.DIAS
10812;10812 - HAVAN - BRAGANCA SHOPPING CENTER - BRAGANCA PAULISTA - SP;7,94E+13;1;;ITAPECHINGA;BRAGANCA PAULISTA;SP;12918001;-229.700.687;-465.686.281;2026-02-09 21:05:02.780508+00;HAVAN
18716;18716 - HAVAN - RO - JI-PARANA - JARDIM PRESIDENCIAL;7,94E+13;1;;JARDIM PRESIDENCIAL;JI-PARANA;RO;76901007;-108.680.611;-61.966.733;2026-02-09 21:05:02.384876+00;HAVAN
82122;82122 - COLOMBO - RUA HELMUTH SMIDT - 1045 - CERRO LARGO - RS;8,98E+13;1;;;CERRO LARGO;RS;97900000;-281.456;-5.474.173;2026-02-09 21:05:02.063994+00;COLOMBO
70116;70116 - COLOMBO - RODOVIA FRANCISCO MAGNO VIEIRA - 672 - FLORIANOPOLIS - SC;8,98E+13;1;;RIO TAVARES;FLORIANOPOLIS;SC;88063700;-2.766.666;-4.850.328;2026-02-09 21:05:01.947218+00;COLOMBO
3788;03788 - COLOMBO - AVENIDA JULIO DE CASTILHOS - 331 - SAO FRANCISCO DE PAULA - RS;8,98E+13;1;;;SAO FRANCISCO DE PAULA;RS;95400000;-2.944.801;-5.058.193;2026-02-09 21:05:02.063994+00;COLOMBO
129;00129 - UNIAR - RUA BARAO DE JUNDIAI - 497 - SAO PAULO - SP;5,51E+12;1;;SAO PAULO;SAO PAULO;SP;5073010;-2.352.503;-4.670.946;2026-02-09 21:05:02.239959+00;POLOAR
6114;06114 - HAVAN - AVENIDA JUSCELINO KUBITSCHEK - 3000 - ANAPOLIS - GO;7,94E+13;1;;JARDIM ELDORADO;ANAPOLIS;GO;75105080;-1.635.084;-4.893.363;2026-02-09 21:05:02.384876+00;HAVAN
830;00830 - FUJIOKA - VILA NOVA;1,01E+12;1;;ST. LESTE VILA NOVA;GOIANIA;GO;;-1.666.106;-4.924.655;2026-02-09 21:05:02.384876+00;FUJIOKA
73484;73484 - COLOMBO - RUA PARANA - 225 - BARRA VELHA - SC;8,98E+13;1;;;BARRA VELHA;SC;88390000;-2.663.312;-486.836;2026-02-09 21:05:01.741346+00;COLOMBO
7410;07410 - FUJIOKA - FORMOSA/GO;1,01E+12;1;;CENTRO;FORMOSA;GO;73801010;-1.554.558;-4.733.764;2026-02-09 21:05:02.384876+00;FUJIOKA
102;00102 - UNIAR - AVENIDA. OROSIMBO MAIA - 1935 - CAMPINAS - SP;2,85E+13;1;;CAMPINAS;CAMPINAS;SP;13024035;-2.288.788;-4.705.289;2026-02-09 21:05:02.239959+00;STR
300;00300 - FERREIRA COSTA - AVENIDA LUIS VIANA FILHO - 6180 - SALVADOR - BA;1,02E+13;1;;;SALVADOR;BA;41730101;-12.938;-38.408;2026-02-09 21:05:02.239959+00;FERREIRA COSTA
72240;72240 - COLOMBO - RUA CONSELHEIRO MAFRA - 320 - FLORIANOPOLIS - SC;8,98E+13;1;;CENTRO;FLORIANOPOLIS;SC;88010101;-2.759.653;-4.855.354;2026-02-09 21:05:01.741346+00;COLOMBO
